,purchase,total_events,unique_products,unique_categories,active_hours,view_count,cart_count,session_count,avg_session_duration,cart_event_ratio,cart_per_product
15650,purchase,4,1,1,0.0636111111111111,2,1,2,1.9083333333333332,0.25,1.0
30665,purchase,6,1,1,6.644166666666667,4,1,3,132.88333333333335,0.16666666666666666,1.0
38084,purchase,3,1,1,0.0525,1,1,1,3.15,0.3333333333333333,1.0
6677,purchase,5,1,1,0.12694444444444444,3,1,2,3.808333333333333,0.2,1.0
31015,purchase,4,1,1,0.03222222222222222,2,1,1,1.9333333333333333,0.25,1.0
23090,purchase,5,1,1,0.0763888888888889,3,1,1,4.583333333333334,0.2,1.0
31277,purchase,13,3,1,49.06,8,2,4,735.9000000000001,0.15384615384615385,0.6666666666666666
16841,purchase,6,1,1,20.465555555555557,4,1,2,613.9666666666667,0.16666666666666666,1.0
19976,purchase,14,5,1,23.035833333333333,8,3,2,691.0749999999999,0.21428571428571427,0.6
30623,purchase,7,2,1,42.647222222222226,4,1,2,1279.4166666666667,0.14285714285714285,0.5
20587,purchase,11,4,1,0.14416666666666667,7,2,1,8.65,0.18181818181818182,0.5
16012,purchase,28,14,1,0.4825,14,13,1,28.95,0.4642857142857143,0.9285714285714286
13521,purchase,6,2,1,0.06944444444444445,4,1,2,2.0833333333333335,0.16666666666666666,0.5
16610,purchase,6,2,1,0.29583333333333334,4,1,1,17.75,0.16666666666666666,0.5
34101,purchase,8,1,1,1.486388888888889,4,2,2,44.59166666666667,0.25,2.0
7942,purchase,4,1,1,0.04027777777777778,2,1,2,1.2083333333333335,0.25,1.0
2550,purchase,4,1,1,0.09638888888888889,2,1,1,5.783333333333333,0.25,1.0
19836,purchase,7,2,1,0.23555555555555555,5,1,2,7.066666666666666,0.14285714285714285,0.5
25173,purchase,3,1,1,0.02666666666666667,1,1,1,1.6,0.3333333333333333,1.0
33759,purchase,3,1,1,0.3894444444444444,1,1,1,23.366666666666667,0.3333333333333333,1.0
2946,purchase,5,2,1,0.13722222222222222,3,1,1,8.233333333333333,0.2,0.5
2251,purchase,3,1,1,0.03833333333333333,1,1,1,2.3,0.3333333333333333,1.0
8934,purchase,7,2,1,168.47722222222222,4,2,1,10108.633333333333,0.2857142857142857,1.0
532,purchase,5,1,1,0.11722222222222223,2,1,1,7.033333333333333,0.2,1.0
34532,purchase,17,3,1,3.275,13,2,1,196.5,0.11764705882352941,0.6666666666666666
28338,purchase,3,1,1,0.02638888888888889,1,1,1,1.5833333333333333,0.3333333333333333,1.0
32953,purchase,11,3,1,0.6677777777777778,8,2,4,10.016666666666667,0.18181818181818182,0.6666666666666666
12438,purchase,5,2,1,0.22722222222222221,3,1,1,13.633333333333333,0.2,0.5
38831,purchase,6,1,1,0.06666666666666667,3,2,2,2.0,0.3333333333333333,2.0
31596,purchase,5,2,1,0.17916666666666667,3,1,1,10.75,0.2,0.5
32065,purchase,7,1,1,18.760833333333334,5,0,4,281.4125,0.0,0.0
25691,purchase,6,3,1,4.391666666666667,4,1,2,131.75,0.16666666666666666,0.3333333333333333
7327,purchase,6,1,1,0.3638888888888889,3,1,1,21.833333333333332,0.16666666666666666,1.0
20455,purchase,10,6,1,0.16361111111111112,8,1,2,4.908333333333334,0.1,0.16666666666666666
32426,purchase,6,1,1,64.9275,2,1,2,1947.8249999999998,0.16666666666666666,1.0
8257,purchase,3,1,1,0.03916666666666667,1,1,1,2.35,0.3333333333333333,1.0
7772,purchase,14,5,1,11.545833333333333,8,3,2,346.375,0.21428571428571427,0.6
1705,purchase,3,1,1,0.043611111111111114,2,0,2,1.3083333333333333,0.0,0.0
14758,purchase,5,1,1,0.21,2,1,1,12.6,0.2,1.0
27781,purchase,3,1,1,0.01972222222222222,1,1,1,1.1833333333333333,0.3333333333333333,1.0
1617,purchase,8,1,1,2.6461111111111113,4,2,1,158.76666666666668,0.25,2.0
24831,purchase,4,1,1,0.08277777777777778,2,1,2,2.4833333333333334,0.25,1.0
30608,purchase,6,3,1,0.10611111111111111,4,1,2,3.1833333333333336,0.16666666666666666,0.3333333333333333
31882,purchase,9,3,1,66.41888888888889,7,1,2,1992.5666666666666,0.1111111111111111,0.3333333333333333
10533,purchase,5,2,1,1.3086111111111112,3,1,1,78.51666666666667,0.2,0.5
6604,purchase,3,1,1,0.07666666666666666,1,1,1,4.6,0.3333333333333333,1.0
8871,purchase,5,1,1,0.34833333333333333,2,1,1,20.9,0.2,1.0
8059,purchase,4,1,1,0.04138888888888889,2,1,2,1.2416666666666667,0.25,1.0
25704,purchase,9,2,1,11.137777777777778,5,1,1,668.2666666666667,0.1111111111111111,0.5
8262,purchase,3,1,1,0.026944444444444444,1,1,1,1.6166666666666667,0.3333333333333333,1.0
17080,purchase,5,4,3,0.14027777777777778,4,0,1,8.416666666666666,0.0,0.0
30629,purchase,33,4,1,17.97861111111111,24,4,4,269.6791666666667,0.12121212121212122,1.0
9872,purchase,3,1,1,0.025,1,1,1,1.5,0.3333333333333333,1.0
16335,purchase,9,3,2,0.36083333333333334,6,1,3,7.216666666666667,0.1111111111111111,0.3333333333333333
28779,purchase,9,2,1,1.021111111111111,7,1,3,20.422222222222224,0.1111111111111111,0.5
4204,purchase,5,1,1,1.8930555555555555,2,1,2,56.791666666666664,0.2,1.0
28519,purchase,27,12,1,3.7202777777777776,22,2,2,111.60833333333332,0.07407407407407407,0.16666666666666666
16458,purchase,5,1,1,0.03861111111111111,2,1,2,1.1583333333333332,0.2,1.0
39313,purchase,11,2,1,0.12694444444444444,7,2,2,3.808333333333333,0.18181818181818182,1.0
2549,purchase,7,3,1,151.0402777777778,5,1,3,3020.805555555556,0.14285714285714285,0.3333333333333333
36592,purchase,4,1,1,0.08055555555555556,2,1,1,4.833333333333334,0.25,1.0
2940,purchase,3,1,1,0.010555555555555556,1,1,1,0.6333333333333333,0.3333333333333333,1.0
11599,purchase,4,1,1,0.19055555555555556,1,1,1,11.433333333333334,0.25,1.0
23295,purchase,6,1,1,58.97972222222222,4,1,3,1179.5944444444444,0.16666666666666666,1.0
27114,purchase,32,14,1,118.03083333333333,29,1,2,3540.925,0.03125,0.07142857142857142
5758,purchase,5,2,1,0.12611111111111112,2,1,1,7.566666666666667,0.2,0.5
1948,purchase,8,3,1,0.13583333333333333,6,1,2,4.075,0.125,0.3333333333333333
4392,purchase,6,1,1,0.29638888888888887,2,1,1,17.78333333333333,0.16666666666666666,1.0
6893,purchase,6,1,1,1.1961111111111111,4,1,3,23.922222222222224,0.16666666666666666,1.0
7943,purchase,6,1,1,0.2747222222222222,1,1,2,8.241666666666665,0.16666666666666666,1.0
16573,purchase,3,1,1,0.02722222222222222,1,1,1,1.6333333333333333,0.3333333333333333,1.0
8102,purchase,15,2,1,15.1875,3,2,11,82.8409090909091,0.13333333333333333,1.0
17387,purchase,3,1,1,0.12944444444444445,1,1,1,7.766666666666667,0.3333333333333333,1.0
22573,purchase,8,3,1,14.223055555555556,6,1,2,426.69166666666666,0.125,0.3333333333333333
28084,purchase,4,1,1,0.043611111111111114,2,1,1,2.6166666666666667,0.25,1.0
38361,purchase,7,1,1,0.32222222222222224,3,1,1,19.333333333333336,0.14285714285714285,1.0
25346,purchase,12,4,1,0.22361111111111112,7,2,1,13.416666666666668,0.16666666666666666,0.5
4595,purchase,3,1,1,0.11277777777777778,1,1,1,6.766666666666667,0.3333333333333333,1.0
4458,purchase,3,1,1,0.03777777777777778,1,1,1,2.2666666666666666,0.3333333333333333,1.0
5617,purchase,29,16,6,50.48888888888889,25,2,4,757.3333333333333,0.06896551724137931,0.125
28767,purchase,3,1,1,0.22972222222222222,1,1,1,13.783333333333333,0.3333333333333333,1.0
14323,purchase,5,1,1,0.06472222222222222,2,1,3,1.2944444444444445,0.2,1.0
18558,purchase,7,1,1,0.6380555555555556,5,1,1,38.28333333333334,0.14285714285714285,1.0
18430,purchase,7,1,1,51.855555555555554,2,1,2,1555.6666666666665,0.14285714285714285,1.0
30876,purchase,14,3,1,4.3180555555555555,9,1,1,259.0833333333333,0.07142857142857142,0.3333333333333333
10801,purchase,4,1,1,0.041666666666666664,2,1,1,2.5,0.25,1.0
1188,purchase,3,1,1,0.03361111111111111,1,1,1,2.0166666666666666,0.3333333333333333,1.0
28543,purchase,3,1,1,0.22777777777777777,1,1,1,13.666666666666666,0.3333333333333333,1.0
12312,purchase,2,1,1,0.03805555555555556,1,0,1,2.2833333333333337,0.0,0.0
1030,purchase,9,1,1,41.6375,7,1,4,624.5625,0.1111111111111111,1.0
24463,purchase,4,1,1,0.02638888888888889,2,1,2,0.7916666666666666,0.25,1.0
6755,purchase,10,4,1,0.20333333333333334,7,2,2,6.1000000000000005,0.2,0.5
11565,purchase,4,1,1,0.11861111111111111,2,1,1,7.116666666666667,0.25,1.0
7873,purchase,1,1,1,0.0,0,0,1,0.0,0.0,0.0
2816,purchase,11,2,1,28.140833333333333,6,3,4,422.1125,0.2727272727272727,1.5
10074,purchase,3,1,1,0.02277777777777778,1,1,1,1.3666666666666667,0.3333333333333333,1.0
25969,purchase,5,1,1,0.04027777777777778,2,2,1,2.416666666666667,0.4,2.0
5108,purchase,3,1,1,0.03805555555555556,1,1,1,2.2833333333333337,0.3333333333333333,1.0
34568,purchase,3,1,1,0.08888888888888889,1,1,1,5.333333333333334,0.3333333333333333,1.0
17193,purchase,19,16,4,1.4580555555555557,17,1,1,87.48333333333333,0.05263157894736842,0.0625
19771,purchase,4,1,1,0.05583333333333333,2,1,2,1.675,0.25,1.0
30153,purchase,138,39,11,68.90055555555556,88,17,3,1378.0111111111112,0.12318840579710146,0.4358974358974359
7146,purchase,8,1,1,0.15166666666666667,4,1,1,9.1,0.125,1.0
36116,purchase,8,1,1,1.6444444444444444,4,1,1,98.66666666666666,0.125,1.0
31164,purchase,3,1,1,0.04805555555555555,1,1,1,2.8833333333333333,0.3333333333333333,1.0
